Year,Month,America Tropical Interpretive Center,Avila Adobe,Chinese American Museum,Firehouse Museum,Pico House 
2014,1,6602,24778,1581,4486,2204
2014,2,5029,18976,1785,4172,1330
2014,3,8129,25231,3229,7082,4320
2014,4,2824,26989,2129,6756,3277
2014,5,10694,36883,3676,10858,4122
2014,6,11036,29487,2121,5751,355
2014,7,13490,32378,2239,5406,3375
2014,8,9139,37680,1769,8619,1550
2014,9,5661,28473,1073,6192,1335
2014,10,7356,27995,1979,6488,1518
2014,11,9773,25691,2404,4189,7769
2014,12,7184,18754,1319,4339,1140
2015,1,6250,20438,1823,3858,200
2015,2,5907,15578,1558,3742,1075
2015,3,9884,21297,2336,5390,3445
2015,4,7254,26670,3057,7000,3292
2015,5,13207,34383,4009,12528,5042
2015,6,11072,41242,3057,6111,4225
2015,7,11102,30569,2544,5377,4552
2015,8,12096,30700,2415,5383,5974
2015,9,6608,20967,1398,5746,700
2015,10,12524,29764,2237,8882,4158
2015,11,6677,24483,2850,6848,9312
2015,12,5967,21426,2075,4502,170
2016,1,6587,19659,2150,4377,250
2016,2,6955,17378,2547,3675,0
2016,3,9979,20322,7702,6334,0
2016,4,5113,24521,3485,6509,50
2016,5,7757,31728,4565,9315,265
2016,6,6751,23696,3034,4918,220
2016,7,12188,31689,2776,5602,215
2016,8,6245,25987,2153,5181,475
2016,9,6977,22897,1754,4736,325
2016,10,6282,25040,2607,6145,1210
2016,11,6365,17760,2248,3930,0
2016,12,5223,20107,2263,3911,715
2017,1,4929,18792,2531,3551,610
2017,2,4493,14035,2139,3491,895
2017,3,6271,20680,5966,5273,625
2017,4,6685,25234,3273,5320,425
2017,5,7556,30029,5585,8733,500
2017,6,6818,22169,2946,4862,40
2017,7,8675,30831,2939,5242,295
2017,8,6212,27009,1784,5379,635
2017,9,4607,23403,1704,4484,920
2017,10,6097,22164,2419,4822,3580
2017,11,6757,17629,2685,4613,415
2017,12,6780,18339,2768,4448,605
2018,1,5837,16265,2477,3910,
2018,2,5705,14718,2710,3306,900
2018,3,4909,19001,4529,5225,1645
2018,4,4650,18966,2750,4535,1155
2018,5,5626,25173,4960,8013,250
2018,6,4694,22171,2518,4635,410
2018,7,4718,23136,2620,4191,327
2018,8,3891,20815,2409,4866,1119
2018,9,3180,21020,2146,4956,2140
2018,10,3775,19280,2364,4622,1975
2018,11,4562,17163,2385,4082,1680
2018,12,4081,17722,2078,4253,185
2019,1,3424,13958,2330,3608,4225
2019,2,2907,10737,2371,2900,475
2019,3,4384,17056,3804,5045,925
2019,4,4830,21074,3484,5204,1336
2019,5,6230,26041,4570,8202,290
2019,6,3995,20226,2853,4787,1800
2019,7,4491,24097,2271,4432,90
2019,8,3410,20921,2017,4460,120
2019,9,3229,17689,1458,4293,740
2019,10,4200,18822,1987,4035,1080
2019,11,4362,15507,2808,4385,225
2019,12,2702,15398,2388,3566,485
