"company","female","male"
"Yelp",54.0,46.0
"Etsy",54.0,46.0
"Indiegogo",50.0,50.0
"Pandora",49.0,51.0
"Pinterest",45.0,55.0
"Slack",45.0,55.0
"Groupon",44.0,56.0
"Netflix",43.0,57.0
"LinkedIn",42.0,58.0
"AirBnB",41.0,59.0
"eBay",40.0,60.0
"Amazon",39.0,61.0
"Uber",38.0,62.0
"Twitter",38.0,62.0
"Yahoo!",37.0,63.0
"HP",37.0,63.0
"Flickr",37.0,63.0
"Tumblr",37.0,63.0
"Facebook",35.0,65.0
"Instagram",35.0,65.0
"Apple",32.0,68.0
"Ingram Micro",31.0,69.0
"Salesforce",31.0,69.0
"Google",31.0,69.0
"YouTube",31.0,69.0
"Dell",28.0,72.0
"Intel",26.0,74.0
"Microsoft",26.0,74.0
"Cisco",24.0,76.0
"Nvidia",17.0,83.0
